# 09/08/2023 https://www.majestic.co.uk/american-wine?specs=75683&orderby=110&ishideoutofstock=1&pagesize=24
Product Name	Rating	Price	Region
Definition Zinfandel 201920 Lodi	3.80	7.99	Lodi
Ravenswood Zinfandel 202021 Lodi	3.80	11.99	Lodi
Edna Valley Pinot Noir 202021 Central Coast	3.70	11.99	Central Coast
Toast Honey Pinot Noir 2021 California	4.00	12.99	Lodi
Toast Honey Cabernet Sauvignon 2021 California	3.80	12.99	Lodi
Bread Butter Cabernet Sauvignon 2021 California	4.00	13.99	California
Bread Butter Pinot Noir 2021 California	4.00	13.99	Napa Valley
Chateau Ste Michelle Cabernet Sauvignon 201819 Columbia Valley	3.80	14.99	Columbia Valley
3 Finger Jack Zinfandel 201920 Lodi	4.10	14.99	Lodi
Chronic Cellars Purple Paradise 201920 Paso Robles	3.80	14.99	Paso Robles
Chronic Cellars Sir Real Cabernet Sauvignon 202021 Paso Robles	3.90	14.99	Paso Robles
Rocklin Ranch Cabernet Sauvignon 202021 Monterey	3.70	16.99	Monterey
Rocklin Ranch Pinot Noir 202021 Monterey	3.40	16.99	Monterey County
Erath Pinot Noir 201920 Oregon	3.70	19.99	Oregon
Bread Butter Reserve Pinot Noir 202021 Russian River Valley	4.10	24.99	Russian River Valley
Duckhorn Decoy Zinfandel 201921 Sonoma County	3.90	24.99	Sonoma County
Bread Butter Reserve Cabernet Sauvignon 2019 Napa Valley	4.20	26.99	Napa Valley
Inglenook Cabernet Sauvignon 2017 Rutherford	4.30	70.00	Rutherford
