# https://www.majestic.co.uk/argentinian-wine?orderby=110&pagesize=32&ishideoutofstock=1&specs=75683
Product Name	Rating	Price	Region
Jam Shed Malbec 202122 Mendoza	3.70	5.99	Mendoza
Avior Malbec 202021 Argentina	3.60	6.99	Mendoza
Las Maletas Malbec 202122 Mendoza	3.80	6.99	Mendoza
Jammy Good Malbec 2022 Mendoza	N/A	6.99	Mendoza
Beefsteak Club Malbec 202122 Mendoza	3.70	6.99	Mendoza
Videla Aranda Malbec 2021 Mendoza	3.70	7.49	Mendoza
Alamos Malbec 202021 Uco Valley	3.70	7.99	Uco Valley
Alturo Malbec 202122 Mendoza	3.90	8.99	Mendoza
Marcelo Pelleriti Malbec 202021 Mendoza	4.10	9.99	Mendoza
Definition Malbec 202122 Mendoza	3.70	9.99	Mendoza
Ernesto Catena Vineyards nimal Organic Malbec 202122 Mendoza	N/A	9.99	Mendoza
Vialba Parrilla Malbec 202022 Mendoza	3.80	9.99	Mendoza
Vialba Reserve Malbec 202021 Mendoza	3.60	10.99	Mendoza
Matias Riccitelli Hey Malbec 202122 Mendoza	3.80	10.99	Mendoza
Vialba Reserve MalbecTouriga Nacional 202021 Mendoza	4.10	10.99	Mendoza
BenMarco Malbec 202021 Mendoza	3.70	12.99	Mendoza
Catena Malbec 202021 Mendoza	4.00	12.99	Mendoza
Catena Cabernet Sauvignon 201921 Mendoza	3.90	12.99	Mendoza
Pelleriti Signature Malbec 201920 Mendoza	3.50	14.99	Mendoza
Zuccardi Q Malbec 202021 Mendoza	3.90	14.99	Uco Valley
Vialba Gran Reservado Malbec 201920 Mendoza	4.00	16.99	Mendoza
Mendel Selection Malbec 201820 Mendoza	4.00	19.99	Mendoza
Vialba Cuve Diane 201719 Mendoza	4.30	35.99	Mendoza
Catena Zapata Nicasia Malbec 201920 Uco Valley	4.00	59.99	Vista Flores
