# 09/08/2023 https://www.majestic.co.uk/chilean-wine?orderby=110&ishideoutofstock=1&pagesize=24&specs=75683
Product Name	Rating	Price	Region
Silver Ghost Cabernet Sauvignon 202122 Central Valley	3.60	5.99	Central Valley
Jam Shed Merlot 2020 Central Valley	3.30	5.99	Central Valley
Via Errzuriz Estate Series Merlot 202122 Valle de Curic	3.50	7.49	Curico Valley
Santa Rita 120 Merlot 202122 Central Valley	3.30	7.99	Central Valley
Santa Rita 120 Carmnre 202122 Central Valley	3.30	7.99	Central Valley
The Long Coast Cabernet Sauvignon 201920 Maipo Valley	3.70	7.99	Maule Valley
Bodega Volcanes Carmnre 202021	3.40	8.99	San Juan
Errazuriz Estate Series Pinot Noir 202122 Aconcagua Valley	3.40	8.99	Aconcagua Valley
Montes Reserva Malbec 202122 Colchagua Valley	3.70	8.99	Colchagua Valley
Luis Felipe Edwards Gran Reserva Merlot 202021 Colchagua Valley	3.50	9.99	Colchagua Valley
Definition Carmnre 202021 Colchagua Valley	3.50	9.99	Colchagua Valley
Mayu Carmnre Appassimento 201819 Chile	3.80	10.99	Coquimbo
Montes Single Vineyard Merlot 202021 Colchagua Valley	3.80	10.99	Colchagua Valley
Emiliana Elemental Organic Gran Reserva Cabernet 201921 Maipo Valley	N/A	10.99	Maipo Valley
Santa Rita Medalla Real Cabernet Sauvignon 201920 Maipo Valley	3.70	11.99	Maipo Valley
Santa Rita Medalla Real Carmnre 201921 Colchagua Valley	3.80	11.99	Colchagua Valley
Clos de Luz Arao Carmnre Red Blend 201819 Chile	3.80	11.99	Cachapoal Valley
Errazuriz Max Reserva Cabernet 201819 Aconcagua Valley	3.80	12.99	Aconcagua Valley
Indomita Duette Pinot Noir 202021 Casablanca Valley	3.50	12.99	Casablanca Valley
Marea Syrah 202021 Leyda Valley	3.90	13.99	Leyda Valley
LFE 900 SingleVineyard 201617 Colchagua Valley	4.00	14.99	Colchagua Valley
Las Veletas Almaule Pas 2021 Maule Valley	3.90	14.99	Maule Valley
Santa Rita Triple C 2020 Maipo Valley	4.10	15.99	Maipo Valley
Managers Choice VIK A Cabernet Sauvignon 202021 Cachapoal Valley	4.20	16.99	Cachapoal Valley
