# https://www.majestic.co.uk/new-zealand-wine?specs=75683&ishideoutofstock=1&orderby=110&pagesize=32
Product Name	Rating	Price	Region
Oyster Bay Merlot 202021 Hawkes Bay	3.60	8.99	Hawke&#39;s Bay
Mud House Pinot Noir 202021 Central Otago	3.60	9.99	Central Otago
Devils Creek Gold Reserve Pinot Noir 2019 Central Otago	3.50	11.99	Central Otago
The Kings Wrath Pinot Noir 202021 Marlborough	3.80	11.99	Marlborough
The Ned Southern Valleys Pinot Noir 201920 Marlborough	3.70	11.99	Marlborough
Definition Pinot Noir 202021 Marlborough	3.60	13.49	Marlborough
Villa Maria Cellar Selection Pinot Noir 202021 Marlborough	3.70	13.99	Marlborough
Framingham Nobodys Hero Pinot Noir 201920 Marlborough	3.50	14.99	Marlborough
Villa Maria Reserve Cabernet SauvignonMerlot 2019 Hawkes Bay	4.00	17.99	Hawke&#39;s Bay
Saint Clair Pioneer Block Pinot Noir 202021 Marlborough	3.80	19.99	Marlborough
Mud House Claim 431 Pinot Noir 201720 Central Otago	3.80	21.99	Central Otago
Escarpment Kiwa Pinot Noir 2020 Martinborough	4.00	31.99	Martinborough
