# https://www.majestic.co.uk/portuguese-wine?orderby=110&ishideoutofstock=1&pagesize=32&specs=75683
Product Name	Rating	Price	Region
LB7 Red 202021 Lisbon	N/A	7.49	Lisboa
Porta 6 202021 Lisbon	3.80	7.99	Lisboa
Falua Tercius Tinto 2021 Tejo	3.60	7.99	Tejo
Ramos Reserva 201920 Vinho Regional Alentejano	3.70	8.99	Alentejano
LB7 Red Reserva 2018 Lisbon	3.80	9.99	Central Valley
Herdade de Gambia 202021 Portugal	3.70	9.99	Península de Setúbal
Quinta do Portal Muros de Vinha 2021 Douro	3.60	9.99	Douro
Managers Choice Agenda Red 201920 Do	3.80	9.99	Douro
Behind Closed Doors Reserva Red 201819 Lisbon	3.90	9.99	Lisboa
Taylors LBV Port Decanter 201718 50cl	4.00	10.99	Porto
Porta 6 Reserva 201920 Portugal	4.00	11.99	Lisboa
Quinta do Portal Mural Reserva Tinto 2020 Douro	3.60	13.99	Douro
Fonseca Bin 27 Port	3.80	13.99	Porto
Casa Ermelinda Freitas Alicante Bouschet Reserva 2019 Setbal	3.90	14.99	Península de Setúbal
LB7 Red 201920 Boxed Wine 225L Lisbon	3.90	23.99	California
Taylors Quinta de Terra Feita Port 200508	4.20	29.99	Porto
Taylors Quinta de Vargellas 201213 Port	4.30	31.99	Porto
Porta 6 Red 6 Bottle Wine Case	3.80	47.94	Wine of Hong Kong
