# https://www.majestic.co.uk/spanish-red-wine?ishideoutofstock=1&pagesize=32&orderby=110&paginationtype=10
Product Name	Rating	Price	Region
Via Albali Cabernet Tempranillo 05 202021 Spain	3.30	3.99	Valdepeñas
Juan Gil Pasico Monastrell 2021 Jumilla DOP	3.50	5.99	Jumilla
Tocado Selection Old Vine Garnacha 2020 Campo de Borja	3.50	5.99	Campo de Borja
The Gathering Storm Red 2022 Spain	3.90	6.49	California
The Guvnor Spain	4.00	6.99	Valdepeñas
Ondarre Primeur Organic Rioja 2020	N/A	6.99	Rioja
Bodegas Olarra Dehesa de Lantana Rioja Crianza 201920	3.70	6.99	Rioja
Orot Joven 2019	N/A	7.49	Rioja
El Aviador Tempranillo 202021	3.40	7.49	Castilla y León
Finca Carelio Tempranillo 201819 Spain	3.90	7.99	Uclés
Marqus de Riscal Rioja Reserva 201718 Half Bottle	4.00	7.99	Rioja
Bodegas Bocopa Alcanta Red Alicante Spain	N/A	7.99	Alicante
Ramn Bilbao Seleccin Especial Rioja 202021	4.20	8.99	Rioja
Cune Rioja Crianza 201819	3.60	8.99	Rioja
Linderos de Finca Antigua Tempranillo Crianza 2018 La Mancha	3.60	8.99	La Mancha
Bodegas Volver Tarima Monastrell 202122 Alicante	3.90	8.99	Alicante
Vinos Barco Menca Mencio 2021 Valdeorras	3.50	8.99	Valdeorras
Chosen By Majestic Rioja Crianza 2020	N/A	8.99	Rioja
Anima de Raimat Tinto Costers del Segre Spain	3.70	8.99	Costers del Segre
La Garnacha 201920 Salvaje del Moncayo	3.70	9.99	Aragón
Guelbenzu Azul Finca La Lombana 2018 Ribera de Queiles	3.80	9.99	Ribera del Queiles
Bodega Matsu El Picaro 202122 Toro	3.90	9.99	Toro
Via Alarde Rioja Reserva 201618	3.80	9.99	Rioja
The Guvnor VIP Spain	4.00	9.99	Vino de España
Bodegas Olarra Dehesa de Lantana Rioja Reserva 201718	3.70	9.99	Rioja
Cune Rioja Reserva 201718	3.80	9.99	Rioja
Viedos Singulares Corral del Obispo 2020 Bierzo	3.40	9.99	Bierzo
Bodegas Ontan Canderuela Rioja Crianza 2019	3.80	9.99	Rioja
Bodegas Castillejo de Robledo Robledal de Corpes 2018 Ribera del Duero Crianza	N/A	10.99	Ribera del Duero
Via Alarde Rioja Gran Reserva 2013	3.90	11.99	Rioja
Marqus de Cceres Rioja Crianza 201819	3.60	11.99	Rioja
Beronia Rioja Crianza 201819	3.60	11.99	Rioja
Olarra Clsico Rioja Reserva 2018	4.00	11.99	Rioja
Marqus de Riscal Verdejo 202122 Rueda	3.70	11.99	Rueda
Pagos del Rey 409 Ribera del Duero 202021	3.90	11.99	Ribera del Duero
Altolandon Organic Bobal 2020 Manchuela	3.70	12.99	Manchuela
Bodegas LAN La Vendimia Reserva 2016 Rioja	3.60	12.99	Rioja
Buil Gine 17XI Montsant Spain	3.70	12.99	Montsant
Definition Rioja Reserva 201718	4.00	12.99	Rioja
Via Pomal Rioja Reserva 201516	3.80	12.99	Rioja
Marqus de Cceres Rioja Reserva 201617	4.00	13.99	Rioja
Bodega Matsu El Recio 202021 Toro	4.10	13.99	Toro
Bodegas Olarra Dehesa de Lantana Rioja Gran Reserva 2015	N/A	13.99	Rioja
Chozas Carrascal Anma Organic Red 2019 Valencia	4.00	13.99	Utiel-Requena
Marqus de Riscal Rioja Reserva 201819	4.00	14.99	Rioja
Bodegas Mas den Gil Bellmunt Organic Priorat 2018	3.90	14.99	Priorat
Beronia Rioja Reserva 201718	4.00	15.99	Rioja
La Garnatxa Fosca 202021 Proyecto Garnachas de Espaa Priorat	3.80	15.99	Priorat
Bodegas Bardos Ribera del Duero Reserva 201618	4.1	15.99	Ribera del Duero
Cune Rioja Gran Reserva 201517	4.00	17.99	Rioja
Marqus de Cceres Rioja Gran Reserva 201415	4.10	19.99	Rioja
Muga Rioja Reserva 201819	4.20	19.99	Rioja
CVNE Imperial Rioja Reserva 201718	3.80	21.99	Rioja
Bodega Matsu El Viejo 201920 Toro	4.30	22.99	Toro
La Rioja Alta Finca Martelo Rioja Reserva 2016	3.80	23.99	Rioja Alta
Finca Valpiedra Petra de Valpiedra Rioja 2018	4.20	23.99	Rioja
Beronia Rioja Gran Reserva 201315	4.10	23.99	Rioja
Bodegas Roda Rioja Reserva 201617	4.20	29.99	Rioja
CVNE Contino Via del Olivo Rioja 201920	4.40	64.99	Rioja
La Rioja Alta 904 Rioja Gran Reserva 2011 Magnum	4.40	99.99	Rioja
Rioja 12 Bottle Red Wine Case	N/A	135.00	Rioja
