# 09/08/2023 https://www.majestic.co.uk/australian-wine?orderby=110&ishideoutofstock=1&pagesize=24&specs=75683
Product Name	Rating	Price	Region
Smith Wright Merlot 202021 Australia	3.80	5.99	South Eastern Australia
Smith Wright Shiraz 202021 Australia	3.40	5.99	South Eastern Australia
Yellow Tail Malbec 202122 Australia	3.50	6.99	South Eastern Australia
Kangarilla Road Primitivo 201819 McLaren Vale	3.80	7.99	McLaren Vale
Making Tracks Shiraz 201920 South Australia	3.60	7.99	South Australia
Definition GSM 202021 South Australia	3.80	7.99	South Australia
Yalumba Y Series Tempranillo 202021 Australia	3.60	8.49	South Australia
Plum Pepper Barossa Shiraz 2017	3.80	8.99	Barossa Valley
19 Crimes Red Blend 202021 Australia	4.00	8.99	Victoria
Casella PepperBox Shiraz 202021 South Eastern Australia	4.00	9.99	South Eastern Australia
Kangarilla Road Shiraz 202021 McLaren Vale	3.80	10.99	McLaren Vale
Jim Barry The Lodge Hill Shiraz 201920 Clare Valley	3.70	10.99	Clare Valley
Jim Barry Cover Drive Cabernet Sauvignon 201920 Australia	3.80	10.99	Clare Valley
Three Vintners Cabernet Sauvignon 2018 South Australia	3.70	11.99	South Australia
Copper Kingdom Shiraz 2017 Barossa	3.70	11.99	Barossa Valley
Wynns Coonawarra Estate Shiraz 202021 Coonawarra	3.60	11.99	Coonawarra
Definition Barossa Shiraz 201920	3.90	11.99	Barossa Valley
Two Hands Tenacity Old Vine Shiraz 202122 Australia	3.80	12.99	McLaren Vale
Vasse Felix Filius CabernetMerlot Margaret River 201920	3.70	12.99	Margaret River
Penfolds Koonunga Hill Seventy Six ShirazCabernet Sauvignon 201921 South Australia	3.80	12.99	South Australia
Grant Burge Fifth Generation Shiraz 2018 Barossa	3.70	14.99	Barossa
Petaluma White Label Cabernet Sauvignon 201719 Coonawarra	3.70	15.99	Coonawarra
Peter Lehmann The Barossan Shiraz 201920 Barossa	3.90	15.99	Barossa Valley
Two Hands Angels Share Shiraz 202122 McLaren Vale	4.00	18.99	McLaren Vale
Two Hands Gnarly Dudes Shiraz 202122 Barossa Valley	4.00	18.99	Barossa Valley
Two Hands Sexy Beast Cabernet Sauvignon 202122 McLaren Vale	4.00	18.99	McLaren Vale
Cape Mentelle Shiraz 2018 Margaret River	3.90	19.99	Margaret River
Penfolds Maxs ShirazCabernet Sauvignon 201819 Australia	3.80	19.99	South Australia
Torbreck Woodcutters Shiraz 202021 Barossa	3.90	19.99	Barossa Valley
Penfolds Bin 2 ShirazMataro 201920 South Australia	3.80	19.99	South Australia
Penfolds Father Grand Tawny Australia	4.20	19.99	Barossa
Yalumba Cigar Cabernet Sauvignon 201718 Coonawarra	4.00	22.99	Coonawarra
Grant Burge Filsell Shiraz 201719 Barossa	4.00	22.99	Barossa
Penfolds Bin 8 ShirazCabernet Sauvignon 2019 South Australia	4.20	24.99	South Australia
Wynns Coonawarra Estate Black Label Cabernet Sauvignon 20171819 Coonawarra	3.90	24.99	Coonawarra
Mollydooker The Boxer Shiraz 202021 Australia	4.10	26.99	McLaren Vale
Penfolds Kalimna Bin 28 Shiraz 201920 Australia	3.80	28.99	South Australia
Yalumba The Signature Cabernet SauvignonShiraz 201618 Barossa	4.10	33.99	Barossa
Torbreck The Struie Shiraz 202021 Barossa	4.20	39.99	Barossa Valley
Grant Burge Nebu CabernetShiraz 2017 Barossa	4.30	54.99	Barossa
