# 09/08/2023 https://www.majestic.co.uk/french-red-wine?ishideoutofstock=1&pagesize=24&orderby=110&paginationtype=10
Product Name	Rating	Price	Region
Cuve Sainte Genevive Rouge VdF	3.60	5.99	Languedoc
LchezVous GrenacheSyrah 201920 France	3.20	6.49	Vin de France
Cuve de Richard Rouge 202122 France	N/A	6.99	Vin de France
Cave du Chteau des Loges Les 3 Madones BeaujolaisVillages 2021	N/A	6.99	Beaujolais Nouveau
Lon Perdigal CtesduRhne 202122	3.50	6.99	Côtes-du-Rhône
Jean Bon Merlot IGP Pays DOc 202122	3.60	6.99	Pays d&#39;Oc
Les Lauriers du Terroir SainteCcile Ctes du Rhne Villages 2019	N/A	6.99	Côtes-du-Rhône-Villages &#39;Sablet&#39;
Alain Grignon Carignan Vieilles Vignes 2022 Pays de lHrault	3.90	6.99	Hérault
Auberge Petite Pierre 2019 Corbieres	3.50	6.99	Corbières
La Belle Angle Pinot Noir 202021 France	3.50	7.49	Vin de France
Les Frres Lumire Ctes du Rhne 202021	3.70	7.49	Côtes du Roussillon Villages
Domaine Paul Mas Ct Mas 2021 Languedoc Rouge	4.00	7.99	Languedoc
Chteau La Grave Peynet Bordeaux Rouge 2021	N/A	7.99	Bordeaux
Olivier Dubois Cuve Prestige Pinot Noir 202122 France	3.70	7.99	Vin de France
Chteau Bel Air Bergerac Rouge 2020	3.70	7.99	Bergerac
Chteau Guiot 201920 Costires de Nmes	3.60	7.99	Costières-de-Nîmes
Pavillon La Tourelle Bordeaux Suprieur 2019	N/A	7.99	Bordeaux Supérieur
Domaine de Cassagnau Rouge Languedoc France	3.30	7.99	Vin de France
Les Davaines Gamay 2021 Coteaux du Lyonnais	3.90	8.99	Coteaux du Lyonnais
Gabriel Allard Ctes du Rhne Rouge 2022	N/A	8.99	Côtes-du-Rhône
Domaine de Valliere La Combe de Vallire Minervois 202122	3.90	8.99	Minervois
Lulu lAlouette Organic SaumurChampigny 202021	3.60	8.99	Saumur-Champigny
Famille Perrin Ventoux 202122	3.50	8.99	Ventoux
Raoul Clerget Beaujolais	3.60	8.99	Beaujolais
Abbotts Delaunay Les Fruits Sauvages Malbec 202021 Languedoc	N/A	8.99	Languedoc-Roussillon
Chosen by Majestic Pinot Noir 2022 France	N/A	8.99	Vin de France
Naudin Pre et Fils Pinot Noir 2022 France	3.70	8.99	Vin de France
Famille Descombe Merlot 2020 Pays dOc	3.60	8.99	Pays d&#39;Oc
Definition Ctes Du Rhne 202021	3.60	9.99	Côtes-du-Rhône
Maison Loron Beaujolais 202021	3.90	9.99	Beaujolais
Lon Perdigal Lirac 2021	N/A	9.99	Lirac
Chteau Tour de Bigorre 2016 Bordeaux	3.40	9.99	Bordeaux
Chosen by Majestic Beaujolais Villages 2022	N/A	9.99	Beaujolais-Villages
Rhonea Notre Dame des Vignes Visan 2020	3.90	9.99	Côtes-du-Rhône-Villages &#39;Visan&#39;
Remy Ferbras Ctes du Rhne Villages 2021	N/A	9.99	Côtes-du-Rhône-Villages &#39;Plan de Dieu&#39;
Chteau Livran 2014 Mdoc	3.70	9.99	Médoc
Georges Vigouroux Le Grand Retour Malbec 201820 Cahors	3.70	9.99	Cahors
VidalFleury Ctes du Rhne 201920	N/A	10.99	Côtes-du-Rhône
Les Hauts de Castelmaure Corbires 202021	3.80	10.99	Corbières
Le Relais du Roi Cairanne 201920	3.90	10.99	Cairanne
Chteau Recougne Bordeaux Suprieur 201920	3.60	10.99	Bordeaux Supérieur
M Chapoutier Belleruche Ctes du Rhne 202021	3.70	10.99	Côtes-du-Rhône
Louis Jadot BeaujolaisLantigni 202122	3.60	10.99	Bourgogne
Chteau de Pennautier 201920 Cabards	3.60	10.99	Cabardès
Definition Fleurie 2021	N/A	11.99	Fleurie
Les Caveau du Prieur Vinsobres 2020	N/A	11.99	Vinsobres
Chateau de Pitray 2017 Castillon Ctes de Bordeaux	3.60	11.99	Castillon - Côtes de Bordeaux
Definition Claret 201819 Medoc	3.60	11.99	Médoc
Paul Jaboulet An Parallle 45 Organic Ctes du Rhne 202021	3.60	11.99	Côtes-du-Rhône
Domaines des Crs Fitou France	3.40	11.99	Vin de France
Vieux Remparts 201920 Lussac Stmilion	3.70	11.99	Lussac-Saint-Émilion
Chteau de la Cour dArgent 2014 Bordeaux Suprieur	3.50	11.99	Bordeaux Supérieur
Chteau Maume Bordeaux Suprieur 201920	3.50	11.99	Bordeaux
Chteau Grimont Cuve Prestige 201718 Cadillac Ctes de Bordeaux	3.70	11.99	Cadillac - Côtes de Bordeaux
MoillardThomas BeaujolaisVillages 2021	3.70	11.99	Beaujolais-Villages
Vieux Chteau Landon 2012 Mdoc	3.70	11.99	Médoc
Pardon et Fils Fleurie 202122 Cte des Labourons	3.80	12.99	Fleurie
Chteau la Favire 201819 Bordeaux Suprieur	3.50	12.99	Bordeaux
Fitou by Mademoiselle Jones 2020 France	3.70	12.99	Fitou
Chteau Arnauton 2014 Fronsac	3.70	12.99	Fronsac
Chateau de Targ Les Cerisiers de Targe Organic SaumurChampigny 2020	N/A	12.99	Saumur-Champigny
Louis Jadot Les Roches Rouges Mcon Rouge 2021	N/A	12.99	Mâcon
Hospices de Beaujeu Bourgogne Gamay 202021	3.80	12.99	Bourgogne
Cave Vinicole de Hunawihr 8 Pinot Noir 2019 Alsace	3.60	12.99	Alsace
MoillardThomas Red Burgundy 2021	N/A	12.99	Bourgogne
Chteau de Pizay Brouilly 202122	3.70	12.99	Brouilly
Chteau de Sainte Gemme 2017 HautMdoc	3.70	12.99	Haut-Médoc
E Guigal Ctes du Rhne 201920	3.70	12.99	Côtes-du-Rhône
Caves des Vignerons de Buxy Les Boiseuils Mcon Rouge 2020	3.90	12.99	Montagny
Chteau Tour HautCaussan 201417	3.80	13.99	Médoc
Georges Duboeuf Flower Label Fleurie 202021	3.60	13.99	Fleurie
Louis Latour Domaine de Valmoissine Pinot Noir 202021 Var	3.70	13.99	Var
Cave de Tain Les Blasons CrozesHermitage 201920	3.70	13.99	Crozes-Hermitage
Chteau Fourcas Dupr 2013 ListracMdoc	3.70	13.99	Listrac-Médoc
Chteau des Ravatys Organic 2021 Cte de Brouilly	3.90	13.99	Côte de Brouilly
Chteau de Pizay 202122 Morgon	3.80	13.99	Morgon
JM Aujoux Terroir DAltitude Labrusques 2019	N/A	13.99	Languedoc
Les Saules Vacqueyras 2021	N/A	14.99	Vacqueyras
Georges Duboeuf Morgon 2020	3.60	14.99	Morgon
Chteau Tour Saint Bonnet 2011 Mdoc	3.50	14.99	Médoc
Les Clos de Paulilles Collioure Rouge 2021	3.90	14.99	Collioure
Cave de Lugny Bourgogne Pinot Noir 2022	N/A	14.99	Bourgogne
Chteau dAngls Grand Vin 201920 La Clape	4.10	15.99	La Clape
Edouard Delaunay Septembre Pinot Noir 201920 Burgundy	3.90	15.99	Bourgogne
Alain Jaume Les Champauvins Organic Ctes Du Rhne 2020	4.00	15.99	Côtes-du-Rhône
Domaine Begude Esprit Organic Pinot Noir 202021 Limoux	3.80	15.99	Haute Vallee de l&#39;Aude
Domaine de Villemajou Organic Corbires Boutenac Rouge 202021	3.90	15.99	Corbières Boutenac
Chteau Tour Bayard 201920 MontagneSaintmilion	3.90	15.99	Montagne-Saint-Émilion
Rasteau LAndol 201920 Famille Perrin Rhne Valley	3.70	15.99	Rasteau
Louis Latour Bourgogne Gamay 202122	3.70	15.99	Bourgogne
Chteau Caronne SteGemme 201618 HautMdoc	3.80	16.99	Haut-Médoc
Chteau Citran Moulins de Citran 201012 HautMdoc	3.80	16.99	Haut-Médoc
Alain Jaume Roquedon Organic Lirac 201819	3.90	16.99	Lirac
Baron de Boutisse Saintmilion Grand Cru 201819 Bordeaux	3.90	17.99	Saint-Émilion Grand Cru
Definition HautesCtes de Nuits 2017	3.80	17.99	Bourgogne Hautes-Côtes de Nuits
Alain Jaume Grande Garrigue Organic Vacqueyras 201920	3.90	17.99	Vacqueyras
Remy Ferbras Gigondas 202021	3.80	17.99	Gigondas
ThunevinCalvet lAmourette Rouge Ctes du Roussillon Villages France	3.70	17.99	Côtes du Roussillon Villages
Chapoutier Crozes Hermitage Les Moniers 201921	3.60	17.99	Crozes-Hermitage
Chateau de Crezancy Sancerre Rouge 202122	3.90	17.99	Sancerre
Domaine la Couquihado Ctes du Rhne 2020 Magnum	3.60	18.99	Côtes-du-Rhône
Domaines Barons de Rothschild Lafite Rserve Spciale 2019 Mdoc	4.50	18.99	Bordeaux
Chteau Coufran 2007 HautMdoc Cru Bourgeois Suprieur	3.80	18.99	Haut-Médoc
Baron Edmond de Rothschild MontagneSaintmilion 201618	3.80	18.99	Haut-Médoc
Cte de NuitsVillages 201718 Nicolas Potel	3.60	19.99	Côte de Nuits Villages
Maison Chanzy En Rosey Rully Rouge 201920	3.90	19.99	Rully
Chteau Grand Faurie La Rose Saintmilion Grand Cru 201819	3.90	19.99	Saint-Émilion Grand Cru
Domaine Cauvard ChoreylsBeaune 202021	4.10	20.99	Aloxe-Corton
E Guigal Gigondas 201920 Rhne Valley	3.90	20.99	Gigondas
Chteau la Sauvageonne Organic Grand Vin 201920 Terrasses du Larzac	4.10	21.99	Terrasses du Larzac
Louis Violland Mercurey 201920 Burgundy	3.60	21.99	Bourgogne
Les Grandes Serres Hommage du Rhne ChteauneufduPape 2022	N/A	21.99	Châteauneuf-du-Pape
Aim Arnoux ChteauneufduPape 2022	N/A	23.99	Chorey-lès-Beaune
Domaine MoillardThomas Santenay Rouge 201819	4.00	23.99	Santenay 1er Cru &#39;Beauregard&#39;
Famille Perrin Les Chemins des Mulets ChteauneufduPape 201920	3.90	29.99	Châteauneuf-du-Pape
Domaine BaderMimeur Chteau de ChassagneMontrachet Rouge 2014	4.20	29.99	Chassagne-Montrachet 1er Cru &#39;Morgeot&#39;
Louis Latour Marsannay Rouge 2021 Burgundy	3.80	29.99	Marsannay
Chteau Tour Massac 201314 Margaux	4.10	29.99	Margaux
Charmes de Kirwan Margaux 2019	4.10	29.99	Margaux
Chteau Meyney 20132017 SaintEstphe	4.00	33.99	Saint-Estèphe
