# 10/08/2023 https://www.majestic.co.uk/south-african-red-wine?pagesize=24&orderby=110&ishideoutofstock=1&specs=75683
Product Name	Rating	Price	Region
Acacia Road Merlot 202022 South Africa	3.20	5.99	Wine of South Africa
Acacia Road Shiraz 2022 Western Cape	N/A	5.99	Western Cape
Gabb Family Vineyards Malbec 202021 South Africa	3.90	7.49	Stellenbosch
Pringle Bay Pinot Noir 2021 Western Cape	3.60	7.99	Western Cape
Pringle Bay Shiraz 2022 Western Cape	N/A	7.99	Western Cape
MAN Family Wines Cellar Selection Pinotage Western Cape	3.70	8.99	Western Cape
Boekenhoutskloof The Wolftrap Shiraz 2021 South Africa	3.30	8.99	Wine of South Africa
Winemaker Series The Red 201920 Swartland	3.90	8.99	Swartland
Barista Pinotage 202122 Western Cape	4.10	8.99	Western Cape
Vinologist Merlot Franschhoek	3.20	8.99	Franschhoek
Bruce Jack Wines Reserve Collection Stream of Consciousness 2021 Western Cape	3.70	8.99	Western Cape
Spier Field Flutter Cinsault Swartland	N/A	9.99	Swartland
Lomond Wines Romans Bay Shiraz Cape Agulhas	3.30	9.99	Cape Agulhas
Reyneke Organic Vinehugger Organic ShirazCabernet Sauvignon 2021 Western Cape	3.60	9.99	Western Cape
Thelema Mountain Vineyards Mountain Red Stellenbosch	N/A	9.99	Stellenbosch
Villiera Wines Merlot 2020 Stellenbosch	3.70	9.99	Stellenbosch
Vergelegen Mill Race Cabernet SauvignonMerlot 2019 Stellenbosch	3.90	10.99	Stellenbosch
Iona The Good Stuff Red Cape South Coast	4.10	10.99	Cape South Coast
Rustenberg RM Nicholson 2020 Stellenbosch	3.90	11.99	Stellenbosch
Rustenberg Cabernet Sauvignon 202021 Stellenbosch	3.90	11.99	Stellenbosch
Kanonkop Kadette Pinotage 201920 Stellenbosch	3.80	12.99	Stellenbosch
David Finlayson Pinot Noir Stellenbosch	3.80	12.99	Stellenbosch
Cathedral Cellar Pinotage Western Cape	3.80	12.99	Western Cape
Klein Constantia Anwilka Amododa 3 Stellenbosch	3.60	12.99	Stellenbosch
Capaia One 201819 Tygerberg	4.00	12.99	Western Cape
Ken Forrester Reserve Red Stellenbosch	3.60	13.99	Stellenbosch
Painted Wolf Wines Black Pack Syrah Walker Bay	N/A	14.99	Walker Bay
Rustenberg John X Merriman 201920 Stellenbosch	4.00	16.99	Stellenbosch
Morgenster Lourens River Valley Stellenbosch	4.20	17.99	Stellenbosch
Radford Dale Antithesis Syrah	4.10	18.99	Stellenbosch
Sutherland Pinot Noir	3.70	18.99	Elgin
Rupert Rothschild Classique 201819 South Africa	4.00	18.99	Western Cape
Piekenierskloof Wine Heirloom Red 2020 Swartland	3.90	19.99	Piekenierskloof
Boekenhoutskloof The Chocolate Block 202021 Western Cape	4.20	22.99	Franschhoek
Kanonkop Estate Cabernet Sauvignon 201718 Stellenbosch	4.20	29.99	Stellenbosch
Rupert Rothschild Baron Edmond 201718 Western Cape	4.00	31.99	Western Cape
