Product Name	Rating	Price	Region	Country
Primo Rosso Appassimento 202122 Puglia	4.1	8.99	Puglia	Italy
Negrar Appassimento Rosso Veneto 202122	4.1	9.99	Veneto	Italy
Pasqua Desire Lush Zin Primitivo 202122 Puglia	4.2	9.99	Puglia	Italy
Domini Veneti La Casetta Valpolicella Ripasso DOC Superiore 201819	4.2	15.99	Valpolicella Ripasso	Italy
Definition Barolo DOCG 201718	4.2	18.99	Barolo	Italy
Ramn Bilbao Seleccin Especial Rioja 202021	4.2	8.99	Rioja	Spain
Bodega Matsu El Recio 202021 Toro	4.1	13.99	Toro	Spain
Bodegas Bardos Ribera del Duero Reserva 201618	4.1	15.99	Ribera del Duero	Spain
Marqus de Cceres Rioja Gran Reserva 201415	4.1	19.99	Rioja	Spain
Muga Rioja Reserva 201819	4.2	19.99	Rioja	Spain
Chteau dAngls Grand Vin 201920 La Clape	4.1	15.99	La Clape	French
3 Finger Jack Zinfandel 201920 Lodi	4.1	14.99	Lodi	USA
Barista Pinotage 202122 Western Cape	4.1	8.99	Western Cape	South Africa
Iona The Good Stuff Red Cape South Coast	4.1	10.99	Cape South Coast	South Africa
Morgenster Lourens River Valley Stellenbosch	4.2	17.99	Stellenbosch	South Africa
Radford Dale Antithesis Syrah	4.1	18.99	Stellenbosch	South Africa
Marcelo Pelleriti Malbec 202021 Mendoza	4.1	9.99	Mendoza	Argentina
Vialba Reserve MalbecTouriga Nacional 202021 Mendoza	4.1	10.99	Mendoza	Argentina
Terrazas de los Andes Malbec 202021 Mendoza	4.2	16.99	Mendoza	Argentina
Santa Rita Triple C 2020 Maipo Valley	4.1	15.99	Maipo Valley	Chile
Managers Choice VIK A Cabernet Sauvignon 202021 Cachapoal Valley	4.2	16.99	Cachapoal Valley	Chile
