Product Name	Rating	Price	Region	Country
Cantina Castelnuovo CaVegar 201920 Valpolicella Superiore DOC	3.8	7.99	Valpolicella Ripasso	Italy
Nero Oro Appassimento 202122 Sicily	3.9	7.99	Terre Siciliane	Italy
Cecchi Governo Alluso Toscano 2020 Chianti DOCG	3.8	8.99	Chianti	Italy
Surani Pietrariccia Fiano 202122 Puglia	3.8	8.99	Puglia	Italy
Primo Rosso Appassimento 202122 Puglia	4.1	8.99	Puglia	Italy
Pasqua PassioneSentimento Passimento Rosso 202021 Veneto	3.9	9.99	Veneto	Italy
Polvanera Organic Primitivo 202122 Marchesana	3.9	9.99	Primitivo di Manduria	Italy
Negrar Appassimento Rosso Veneto 202122	4.1	9.99	Veneto	Italy
Pasqua Desire Lush Zin Primitivo 202122 Puglia	4.2	9.99	Puglia	Italy
Surani Costarossa Primitivo di Manduria DOC 202021	3.9	10.99	Primitivo di Manduria	Italy
Nero Oro Riserva 201819 Sicily	3.9	11.99	Terre Siciliane	Italy
Marco Zanatta Cannonau di Sardegna DOC Italy	3.8	11.99	Cannonau di Sardegna	Italy
Antica Vigna Valpolicella Ripasso DOC Superiore	3.8	11.99	Valpolicella Ripasso	Italy
Villa Borghetti Valpolicella Ripasso 202021	3.9	12.99	Valpolicella Ripasso	Italy
Cantina del Garda Valpolicella Ripasso DOC 2019	3.9	12.99	Valpolicella Ripasso	Italy
Barbera DAlba Villa de Forville 202021	3.8	12.99	Barbera d'Alba	Italy
Polvanera P24 Organic Primitivo Gioia del Colle DOC Italy	4.0	13.99	Gioia del Colle	Italy
Domini Veneti La Casetta Valpolicella Ripasso DOC Superiore 201819	4.2	15.99	Valpolicella Ripasso	Italy
Fidora Valpolicella Ripasso DOC Classico Superiore 2015	4.0	16.99	Valpolicella Ripasso	Italy
Antica Vigna Amarone della Valpolicella DOCG 201920	4.0	17.99	Amarone della Valpolicella	Italy
Grattamacco Organic Bolgheri Rosso DOC 201920	3.9	17.99	Bolgheri	Italy
Definition Barolo DOCG 201718	4.2	18.99	Barolo	Italy
The Guvnor Spain	4.0	6.99	Valdepeñas	Spain
Finca Carelio Tempranillo 201819 Spain	3.9	7.99	Uclés	Spain
Ramn Bilbao Seleccin Especial Rioja 202021	4.2	8.99	Rioja	Spain
Bodegas Volver Tarima Monastrell 202122 Alicante	3.9	8.99	Alicante	Spain
Guelbenzu Azul Finca La Lombana 2018 Ribera de Queiles	3.8	9.99	Ribera del Queiles	Spain
Bodega Matsu El Picaro 202122 Toro	3.9	9.99	Toro	Spain
Via Alarde Rioja Reserva 201618	3.8	9.99	Rioja	Spain
The Guvnor VIP Spain	4.0	9.99	Vino de España	Spain
Cune Rioja Reserva 201819	3.8	9.99	Rioja	Spain
Bodegas Ontan Canderuela Rioja Crianza 2019	3.8	9.99	Rioja	Spain
Via Alarde Rioja Gran Reserva 2013	3.9	11.99	Rioja	Spain
Olarra Clsico Rioja Reserva 2018	4.0	11.99	Rioja	Spain
Pagos del Rey 409 Ribera del Duero 202021	3.9	11.99	Ribera del Duero	Spain
Definition Rioja Reserva 201718	4.0	12.99	Rioja	Spain
Via Pomal Rioja Reserva 201516	3.8	12.99	Rioja	Spain
Marqus de Cceres Rioja Reserva 201617	4.0	13.99	Rioja	Spain
Bodega Matsu El Recio 202021 Toro	4.1	13.99	Toro	Spain
Chozas Carrascal Anma Organic Red 2019 Valencia	4.0	13.99	Utiel-Requena	Spain
Marqus de Riscal Rioja Reserva 201819	4.0	14.99	Rioja	Spain
Bodegas Mas den Gil Bellmunt Organic Priorat 2018	3.9	14.99	Priorat	Spain
Beronia Rioja Reserva 201718	4.0	15.99	Rioja	Spain
La Garnatxa Fosca 202021 Proyecto Garnachas de Espaa Priorat	3.8	15.99	Priorat	Spain
Bodegas Bardos Ribera del Duero Reserva 201618	4.1	15.99	Ribera del Duero	Spain
Cune Rioja Gran Reserva 201517	4.0	17.99	Rioja	Spain
Marqus de Cceres Rioja Gran Reserva 201415	4.1	19.99	Rioja	Spain
Muga Rioja Reserva 201819	4.2	19.99	Rioja	Spain
Alain Grignon Carignan Vieilles Vignes 2022 Pays de lHrault	3.9	6.99	Hérault	French
Les Davaines Gamay 2021 Coteaux du Lyonnais	3.9	8.99	Coteaux du Lyonnais	French
Domaine de Valliere La Combe de Vallire Minervois 202122	3.9	8.99	Minervois	French
Maison Loron Beaujolais 202021	3.9	9.99	Beaujolais	French
Rhonea Notre Dame des Vignes Visan 2020	3.9	9.99	Côtes-du-Rhône-Villages 'Visan'	French
Les Hauts de Castelmaure Corbires 202021	3.8	10.99	Corbières	French
Le Relais du Roi Cairanne 201920	3.9	10.99	Cairanne	French
Pardon et Fils Fleurie 202122 Cte des Labourons	3.8	12.99	Fleurie	French
Hospices de Beaujeu Bourgogne Gamay 202021	3.8	12.99	Bourgogne	French
Caves des Vignerons de Buxy Les Boiseuils Mcon Rouge 2020	3.9	12.99	Montagny	French
Chteau Tour HautCaussan 201417	3.8	13.99	Médoc	French
Chteau des Ravatys Organic 2021 Cte de Brouilly	3.9	13.99	Côte de Brouilly	French
Chteau de Pizay 202122 Morgon	3.8	13.99	Morgon	French
Les Clos de Paulilles Collioure Rouge 2021	3.9	14.99	Collioure	French
Chteau dAngls Grand Vin 201920 La Clape	4.1	15.99	La Clape	French
Edouard Delaunay Septembre Pinot Noir 201920 Burgundy	3.9	15.99	Bourgogne	French
Alain Jaume Les Champauvins Organic Ctes Du Rhne 2020	4.0	15.99	Côtes-du-Rhône	French
Domaine Begude Esprit Organic Pinot Noir 202021 Limoux	3.8	15.99	Haute Vallee de l'Aude	French
Domaine de Villemajou Organic Corbires Boutenac Rouge 202021	3.9	15.99	Corbières Boutenac	French
Chteau Tour Bayard 201920 MontagneSaintmilion	3.9	15.99	Montagne-Saint-Émilion	French
Chteau Caronne SteGemme 201618 HautMdoc	3.8	16.99	Haut-Médoc	French
Chteau Citran Moulins de Citran 201012 HautMdoc	3.8	16.99	Haut-Médoc	French
Alain Jaume Roquedon Organic Lirac 201819	3.9	16.99	Lirac	French
Baron de Boutisse Saintmilion Grand Cru 201819 Bordeaux	3.9	17.99	Saint-Émilion Grand Cru	French
Definition HautesCtes de Nuits 2017	3.8	17.99	Bourgogne Hautes-Côtes de Nuits	French
Alain Jaume Grande Garrigue Organic Vacqueyras 201920	3.9	17.99	Vacqueyras	French
Remy Ferbras Gigondas 202021	3.8	17.99	Gigondas	French
Chateau de Crezancy Sancerre Rouge 202122	3.9	17.99	Sancerre	French
Chteau Coufran 2007 HautMdoc Cru Bourgeois Suprieur	3.8	18.99	Haut-Médoc	French
Baron Edmond de Rothschild MontagneSaintmilion 201618	3.8	18.99	Haut-Médoc	French
